Naam;Aantal;;
Lexi;73;;
Lexie;47;;
Leyla;57;;
Lia;25;;
Lieke;502;;
Lien;27;;
Liene;25;;
Lieve;84;;
Lilian;26;;
Liliana;36;;
Lilly;125;;
Lilou;33;;
Lily;178;;
Lina;310;;
Linde;164;;
Linn;56;;
Linne;29;;
Lisa;282;;
Lisanne;33;;
Lise;122;;
Liselotte;27;;
Liv;485;;
Liva;179;;
Livia;158;;
Liya;74;;
Liyana;92;;
Liz;237;;
Liza;60;;
Lize;173;;
Lizz;66;;
Lizzy;179;;
Loa;52;;
Loes;44;;
Lois;42;;
Lola;145;;
Lorèn;27;;
Lot;138;;
Lott;52;;
Lotte;449;;
Lou;111;;
Loua;68;;
Louise;144;;
Lova;26;;
Loïs;334;;
Lucie;48;;
Lucy;96;;
Luna;254;;
Lune;40;;
Luus;31;;
Lydia;34;;
Lynn;369;;
Maaike;26;;
Maan;27;;
Maartje;46;;
Macy;27;;
Madelief;54;;
Madée;38;;
Mae;93;;
Maeve;91;;
Maja;84;;
Malou;28;;
Mara;139;;
Mare;81;;
Maren;37;;
Maria;239;;
Marie;94;;
Marit;142;;
Marley;58;;
Marlie;27;;
Marly;56;;
Marrit;28;;
Marwa;30;;
Maryam;98;;
Mathilde;29;;
Maud;385;;
Maxime;54;;
Maya;133;;
Mayra;35;;
Maysa;53;;
Medina;36;;
Megan;50;;
Meghan;30;;
Meike;45;;
Melina;31;;
Melisa;26;;
Melissa;31;;
Melody;32;;
Merel;195;;
Merle;64;;
Meryem;83;;
Mette;76;;
Meyra;40;;
Mia;313;;
Michelle;28;;
Mikki;39;;
Mila;671;;
Milana;27;;
Milena;51;;
Miley;47;;
Milly;28;;
Milou;419;;
Mina;61;;
Mira;99;;
Mirre;35;;
Mirte;39;;
Mirthe;118;;
Myla;38;;
Myra;25;;
Myrthe;71;;
Nadia;41;;
Nadine;30;;
Naomi;179;;
Neeltje;49;;
Nela;25;;
Nena;32;;
Niene;76;;
Nienke;69;;
Nika;38;;
Nikki;116;;
Nikkie;35;;
Nila;48;;
Nina;385;;
Nine;115;;
Ninthe;32;;
Nisa;52;;
Noa;293;;
Nola;143;;
Nomi;29;;
Noor;483;;
Noortje;87;;
Nora;504;;
Norah;242;;
Nore;101;;
Nour;66;;
Nova;381;;
Novi;90;;
Novée;41;;
Nowi;27;;
Noé;134;;
Noémi;27;;
Noë;33;;
Noëlla;55;;
Noëlle;122;;
Nynke;44;;
Olivia;501;;
Oliwia;30;;
Oumayra;42;;
Phileine;47;;
Philou;146;;
Pien;86;;
Pip;106;;
Pippa;62;;
Pleun;87;;
Pola;33;;
Puck;170;;
Puk;42;;
Quinn;45;;
Quinty;30;;
Rachel;31;;
Rana;28;;
Renske;36;;
Rhodé;34;;
Riley;66;;
Robin;116;;
Romee;62;;
Romy;138;;
Romée;118;;
Roos;340;;
Rosa;174;;
Rosalie;159;;
Rose;28;;
Rosie;99;;
Roxy;25;;
Ruby;69;;
Saar;516;;
Safa;34;;
Safae;40;;
Safiya;30;;
Salomé;25;;
Sam;154;;
Sammie;48;;
Sanna;25;;
Sanne;162;;
Sara;593;;
Sarah;380;;
Sare;32;;
Scottie;29;;
Selena;30;;
Selina;47;;
Selma;37;;
Sena;65;;
Senna;105;;
Sienna;34;;
Silke;67;;
Siënna;25;;
Skye;34;;
Sofia;328;;
Sofie;389;;
Soof;72;;
Sophia;259;;
Sophie;645;;
Stella;82;;
Sterre;91;;
Suus;161;;
Suze;188;;
Tara;45;;
Teddy;38;;
Tess;596;;
Tessa;148;;
Thirza;40;;
Tirza;35;;
Vajèn;114;;
Valentina;68;;
Valerie;67;;
Vanessa;34;;
Vayèn;39;;
Veerle;190;;
Vera;264;;
Vere;25;;
Vesper;69;;
Victoria;97;;
Vienna;26;;
Vieve;69;;
Vive;43;;
Vivian;27;;
Vivienne;28;;
Viënna;42;;
Wende;26;;
Wies;40;;
Wilhelmina;28;;
Yara;500;;
Yarah;25;;
Yasmin;75;;
Yasmine;48;;
Yenthe;36;;
Yfke;80;;
Yinthe;50;;
Yuna;86;;
Zahra;35;;
Zara;102;;
Zeyneb;26;;
Zeynep;80;;
Ziva;49;;
Zoey;99;;
Zofia;27;;
Zoë;644;;
Zuzanna;57;;
