Naam;Aantal
Dorien (V);1322
Dorina (V);43
Dorinda (V);98
Dorinde (V);44
Dorine (V);303
Doris (V);463
Dorith (V);57
Dorothea (V);384
Dorothy (V);89
Dorothé (V);31
Dorothée (V);32
Dorris (V);42
Dorrit (V);32
Douaa (V);28
Douae (V);102
Douha (V);32
Dounia (V);782
Dounya (V);37
Doutsen (V);35
Doutzen (V);35
Douwina (V);45
Dragana (V);49
Driesje (V);42
Drifa (V);29
Dudu (V);46
Dunia (V);32
Dunja (V);280
Dunya (V);204
Durkje (V);30
Duygu (V);400
Dyan (V);52
Dyanne (V);75
Dyantha (V);85
Dylana (V);88
Dymphna (V);70
Dymphy (V);55
Dyon (V);34
Dyonne (V);259
Démi (V);36
Dénise (V);33
Désiree (V);113
Désiré (V);38
Désirée (V);443
Döndü (V);90
Döne (V);49
Dünya (V);44
Ebba (V);31
Ebony (V);147
Ebrar (V);62
Ebru (V);960
Ece (V);99
Ecem (V);53
Echica (V);34
Eda (V);405
Edanur (V);112
Eden (V);160
Edina (V);66
Edine (V);33
Edita (V);31
Edith (V);378
Edmee (V);31
Edmée (V);61
Edna (V);50
Edwina (V);34
Eef (V);273
Eefje (V);1062
Eefke (V);296
Eeke (V);110
Eelke (V);114
Eelkje (V);134
Egberdina (V);128
Egbertje (V);45
Eibertje (V);54
Eileen (V);383
Eilish (V);35
Ekaterina (V);57
Eke (V);132
Ekram (V);62
El (V);31
Ela (V);116
Elaine (V);455
Elana (V);46
Elanur (V);154
Elbertha (V);29
Elbrich (V);97
Elcke (V);64
Eleanor (V);116
Eleanora (V);34
Elena (V);901
Elene (V);33
Eleni (V);104
Eleonoor (V);34
Eleonora (V);602
Eleonore (V);162
Elfi (V);60
Elfie (V);32
Elham (V);57
Elia (V);40
Elian (V);56
Eliana (V);82
Eliane (V);159
Elianne (V);432
Elien (V);186
Eliene (V);38
Elif (V);1000
Elife (V);41
Elin (V);382
Elina (V);324
Eline (V);9731
Elisa (V);2238
Elisabet (V);68
Elisabeth (V);9962
Elisah (V);125
Elise (V);4430
Elisha (V);115
Elissa (V);58
Eliz (V);30
Eliza (V);674
Elizabet (V);49
Elizabeth (V);3636
Elizaveta (V);29
Elize (V);520
Elja (V);95
Elke (V);1526
Ella (V);1158
Elle (V);365
Elleke (V);184
Ellemiek (V);34
Ellemieke (V);48
Ellemijn (V);137
Ellen (V);5134
Ellenoor (V);29
Elles (V);567
Ellie (V);77
Ellis (V);800
Elly (V);205
Elma (V);245
Elmas (V);102
Elmira (V);81
Elnaz (V);27
Elodie (V);180
Eloise (V);72
Elora (V);57
Eloïse (V);71
Els (V);738
Elsa (V);438
Elsbeth (V);260
Else (V);611
Elseline (V);39
Elsemiek (V);159
Elsemieke (V);236
Elsien (V);27
Elsina (V);35
Elsje (V);215
Elske (V);628
Elvan (V);85
Elvera (V);140
Elvi (V);28
Elvie (V);27
Elvira (V);1063
Elvire (V);31
Elyne (V);59
Elysa (V);55
Elyse (V);152
Elza (V);158
Elze (V);171
Elâ (V);44
Ema (V);46
Eman (V);52
Emanuela (V);63
Emanuelle (V);41
Emel (V);233
Emelia (V);29
Emelie (V);125
Emeline (V);37
Emely (V);131
Emerentia (V);33
Emerentiana (V);28
Emese (V);57
Emi (V);63
Emie (V);46
Emilia (V);266
Emilie (V);691
Emily (V);1985
Emina (V);175
Emine (V);1022
Emira (V);30
Emke (V);92
Emma (V);10665
Emmaly (V);42
Emmanuela (V);31
Emmanuella (V);27
Emmanuelle (V);41
Emme (V);27
Emmeke (V);34
Emmelie (V);165
Emmelien (V);34
Emmeline (V);106
Emmely (V);267
Emmi (V);39
Emmie (V);152
Emmily (V);28
Emmy (V);840
Emre (V);29
Emy (V);361
Ena (V);61
Engelien (V);28
Engelina (V);270
Engeltje (V);55
Enise (V);92
Enna (V);53
Enola (V);93
Enya (V);147
Enza (V);33
Erica (V);557
Erika (V);367
Erin (V);327
Erinn (V);37
Erna (V);167
Ernestine (V);28
Erva (V);113
Esen (V);60
Esengül (V);38
Esha (V);50
Esin (V);95
Eske (V);30
Eslem (V);45
Esli (V);55
Esma (V);777
Esmanur (V);62
Esmaralda (V);58
Esmay (V);478
Esme (V);51
Esmee (V);4422
Esmeralda (V);1657
Esmeray (V);33
Esmeé (V);238
Esmiralda (V);147
Esmé (V);524
Esmée (V);3921
